DD HH:MM,Medição,Previsão
15/05/2024 07:40,1.19,
15/05/2024 07:45,1.19,
15/05/2024 07:50,1.20,
15/05/2024 07:55,1.17,
15/05/2024 08:00,1.18,0.17
15/05/2024 08:05,1.16,0.17
15/05/2024 08:10,1.16,0.17
15/05/2024 08:15,1.16,0.17
15/05/2024 08:20,1.16,0.17
15/05/2024 08:25,1.13,0.17
15/05/2024 08:30,1.14,0.17
15/05/2024 08:35,1.14,0.17
15/05/2024 08:40,1.12,0.17
15/05/2024 08:45,1.10,0.17
15/05/2024 08:50,1.09,0.17
15/05/2024 08:55,1.09,0.17
15/05/2024 09:00,1.10,0.10
15/05/2024 09:05,1.07,0.10
15/05/2024 09:10,1.05,0.10
15/05/2024 09:15,1.05,0.10
15/05/2024 09:20,1.05,0.10
15/05/2024 09:25,1.06,0.10
15/05/2024 09:30,1.08,0.10
15/05/2024 09:40,1.05,0.10
15/05/2024 09:50,1.05,0.10
15/05/2024 09:55,1.05,0.10
15/05/2024 10:00,1.05,0.03
15/05/2024 10:15,1.10,0.03
15/05/2024 10:20,1.09,0.03
15/05/2024 10:25,1.08,0.03
15/05/2024 10:30,1.09,0.03
15/05/2024 10:35,1.08,0.03
15/05/2024 10:40,1.09,0.03
15/05/2024 10:45,1.11,0.03
15/05/2024 10:50,1.08,0.03
15/05/2024 10:55,1.11,0.03
15/05/2024 11:00,1.11,0.02
15/05/2024 11:05,1.12,0.02
15/05/2024 11:10,1.14,0.02
15/05/2024 11:15,1.14,0.02
15/05/2024 11:20,1.11,0.02
15/05/2024 11:25,1.17,0.02
15/05/2024 11:30,1.17,0.02
15/05/2024 11:45,1.20,0.02
15/05/2024 11:50,1.21,0.02
15/05/2024 11:55,1.21,0.02
15/05/2024 12:00,1.20,0.06
15/05/2024 12:05,1.23,0.06
15/05/2024 12:10,1.23,0.06
15/05/2024 12:20,1.24,0.06
15/05/2024 12:25,1.27,0.06
15/05/2024 12:30,1.27,0.06
15/05/2024 12:35,1.27,0.06
15/05/2024 12:40,1.28,0.06
15/05/2024 12:45,1.29,0.06
15/05/2024 12:50,1.27,0.06
15/05/2024 12:55,1.28,0.06
15/05/2024 13:00,1.29,0.12
15/05/2024 13:05,1.27,0.12
15/05/2024 13:10,1.28,0.12
15/05/2024 13:15,1.30,0.12
15/05/2024 13:20,1.30,0.12
15/05/2024 13:25,1.31,0.12
15/05/2024 13:30,1.29,0.12
15/05/2024 13:35,1.30,0.12
15/05/2024 13:40,1.30,0.12
15/05/2024 13:45,1.29,0.12
15/05/2024 13:50,1.31,0.12
15/05/2024 13:55,1.30,0.12
15/05/2024 14:00,1.29,0.14
15/05/2024 14:05,1.29,0.14
15/05/2024 14:10,1.27,0.14
15/05/2024 14:15,1.26,0.14
15/05/2024 14:20,1.29,0.14
15/05/2024 14:25,1.28,0.14
15/05/2024 14:30,1.27,0.14
15/05/2024 14:35,1.29,0.14
15/05/2024 14:40,1.30,0.14
15/05/2024 14:45,1.29,0.14
15/05/2024 14:50,1.29,0.14
15/05/2024 14:55,1.28,0.14
15/05/2024 15:00,1.30,0.12
15/05/2024 15:05,1.27,0.12
15/05/2024 15:10,1.27,0.12
15/05/2024 15:15,1.27,0.12
15/05/2024 15:20,1.26,0.12
15/05/2024 15:25,1.26,0.12
15/05/2024 15:30,1.25,0.12
15/05/2024 15:35,1.26,0.12
15/05/2024 15:40,1.25,0.12
15/05/2024 15:45,1.25,0.12
